planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes,R0_cost,R0_num_states,R0_num_transitions,R0_wait,R0_move,R0_rotate,R0_move_rotate,R1_cost,R1_num_states,R1_num_transitions,R1_wait,R1_move,R1_rotate,R1_move_rotate
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,True,0.0069008999853394926,1,2.3,2.3,0,0,2,0,solved | python_orientation_lacam_step2,2.3,3,2,0,0,2,0,,,,,,,
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,True,0.03705370001262054,1,2.1,2.1,0,0,0,2,solved | python_orientation_lacam_step2,2.1,3,2,0,0,0,2,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,True,0.006810799997765571,1,3.15,3.15,0,2,1,0,solved | python_orientation_lacam_step2,3.15,4,3,0,2,1,0,,,,,,,
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,True,0.034924899984616786,1,2.05,2.05,0,1,0,1,solved | python_orientation_lacam_step2,2.05,3,2,0,1,0,1,,,,,,,
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,True,0.018126399954780936,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step2,6.0,7,6,0,6,0,0,4.0,5,4,0,4,0,0
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,True,0.060936299967579544,2,6.0,10.0,0,10,0,0,solved | python_orientation_lacam_step2,6.0,7,6,0,6,0,0,4.0,5,4,0,4,0,0
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,True,0.035623000003397465,2,9.15,18.3,0,16,2,0,solved | python_orientation_lacam_step2,9.15,10,9,0,8,1,0,9.15,10,9,0,8,1,0
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,True,0.04510049999225885,2,8.05,16.1,0,14,0,2,solved | python_orientation_lacam_step2,8.05,9,8,0,7,0,1,8.05,9,8,0,7,0,1
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,True,0.011629199958406389,1,7.15,7.15,0,6,1,0,solved | python_orientation_lacam_step2,7.15,8,7,0,6,1,0,,,,,,,
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,True,0.03782989998580888,1,6.05,6.05,0,5,0,1,solved | python_orientation_lacam_step2,6.05,7,6,0,5,0,1,,,,,,,
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,True,0.0067684000241570175,2,6.0,12.0,0,12,0,0,solved | python_orientation_lacam_step2,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,True,0.03785220003919676,2,6.0,12.0,0,12,0,0,solved | python_orientation_lacam_step2,6.0,7,6,0,6,0,0,6.0,7,6,0,6,0,0
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,True,0.30709770001703873,2,11.0,17.0,5,12,0,0,solved | python_orientation_lacam_step2,11.0,12,11,5,6,0,0,6.0,7,6,0,6,0,0
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,True,0.10881399997742847,2,9.200000000000001,13.200000000000001,3,6,0,4,solved | python_orientation_lacam_step2,4.0,5,4,0,4,0,0,9.200000000000001,10,9,3,2,0,4
